x,z,y,dy_dx,dy_dz
-380.0,-52.0,-12.91070818731365,0.0,-0.0
-376.0,-52.0,-12.91070818731365,0.0,-0.0
-372.0,-52.0,-12.91070818731365,0.0,-0.0
-368.0,-52.0,-12.91070818731365,0.0,-0.0
-364.0,-52.0,-12.91070818731365,0.0,-0.0
-360.0,-52.0,-12.91070818731365,0.0,-0.0
-356.0,-52.0,-12.91070818731365,0.0,-0.0
-352.0,-52.0,-12.91070818731365,0.0,-0.0
-348.0,-52.0,-12.91070818731365,0.0,-0.0
-344.0,-52.0,-12.91070818731365,0.0,-0.0
-340.0,-52.0,-12.91070818731365,0.0,-0.0
-336.0,-52.0,-12.91070818731365,0.0,-0.0
-332.0,-52.0,-12.91070818731365,0.0,-0.0
-328.0,-52.0,-12.91070818731365,0.0,-0.0
-324.0,-52.0,-12.91070818731365,0.0,-0.0
-320.0,-52.0,-12.91070818731365,0.0,-0.0
-316.0,-52.0,-12.91070818731365,0.0,-0.0
-312.0,-52.0,-12.91070818731365,0.0,-0.0
-308.0,-52.0,-12.91070818731365,0.0,-0.0
-304.0,-52.0,-12.91070818731365,0.0,-0.0
-300.0,-52.0,-12.91070818731365,0.0,-0.0
-296.0,-52.0,-12.91070818731365,0.0,-0.0
-292.0,-52.0,-12.91070818731365,0.0,-0.0
-288.0,-52.0,-12.91070818731365,0.0,-0.0
-284.0,-52.0,-12.91070818731365,0.0,-0.0
-280.0,-52.0,-12.91070818731365,0.0,-0.0
-276.0,-52.0,-12.91070818731365,0.0,-0.0
-272.0,-52.0,-12.91070818731365,0.0,-0.0
-268.0,-52.0,-12.91070818731365,0.0,-0.0
-264.0,-52.0,-12.91070818731365,0.0,-0.0
-260.0,-52.0,-12.91070818731365,0.0,-0.0
-256.0,-52.0,-12.91070818731365,0.0,-0.0
-252.0,-52.0,-12.91070818731365,0.0,-0.0
-248.0,-52.0,-12.91070818731365,0.0,-0.0
-244.0,-52.0,-12.91070818731365,0.0,-0.0
-240.0,-52.0,-12.91070818731365,0.0,-0.0
-236.0,-52.0,-12.91070818731365,0.0,-0.0
-232.0,-52.0,-12.91070818731365,0.0,-0.0
-228.0,-52.0,-12.91070818731365,0.0,-0.0
-224.0,-52.0,-12.91070818731365,0.0,-0.0
-220.0,-52.0,-12.91070818731365,0.0,-0.0
-216.0,-52.0,-12.91070818731365,0.0,-0.0
-212.0,-52.0,-12.91070818731365,0.0,-0.0
-208.0,-52.0,-12.91070818731365,0.0,-0.0
-204.0,-52.0,-12.91070818731365,0.0,-0.0
-200.0,-52.0,-12.91070818731365,0.0,-0.0
-196.0,-52.0,-12.91070818731365,0.0,-0.0
-192.0,-52.0,-12.91070818731365,0.0,-0.0
-188.0,-52.0,-12.91070818731365,0.0,-0.0
-184.0,-52.0,-12.91070818731365,0.0,-0.0
-180.0,-52.0,-12.91070818731365,0.0,-0.0
-176.0,-52.0,-12.91070818731365,0.0,-0.0
-172.0,-52.0,-12.91070818731365,0.0,-0.0
-168.0,-52.0,-12.91070818731365,0.0,-0.0
-164.0,-52.0,-12.91070818731365,0.0,-0.0
-160.0,-52.0,-12.91070818731365,0.0,-0.0
-156.0,-52.0,-12.91070818731365,0.0,-0.0
-152.0,-52.0,-12.91070818731365,0.0,-0.0
-148.0,-52.0,-12.91070818731365,0.0,-0.0
-144.0,-52.0,-12.91070818731365,0.0,-0.0
-140.0,-52.0,-12.91070818731365,0.0,-0.0
-136.0,-52.0,-12.91070818731365,0.0,-0.0
-132.0,-52.0,-12.91070818731365,0.0,-0.0
-128.0,-52.0,-12.91070818731365,0.0,-0.0
-124.0,-52.0,-12.91070818731365,0.0,-0.0
-120.0,-52.0,-12.91070818731365,0.0,-0.0
-116.0,-52.0,-12.91070818731365,0.0,-0.0
-112.0,-52.0,-12.91070818731365,0.0,-0.0
-108.0,-52.0,-12.91070818731365,0.0,-0.0
-104.0,-52.0,-12.91070818731365,0.0,-0.0
-100.0,-52.0,-12.91070818731365,0.0,-0.0
-96.0,-52.0,-12.91070818731365,0.0,-0.0
-92.0,-52.0,-12.91070818731365,0.0,-0.0
-88.0,-52.0,-12.91070818731365,0.0,-0.0
-84.0,-52.0,-12.91070818731365,0.0,-0.0
-80.0,-52.0,-12.91070818731365,0.0,-0.0
-76.0,-52.0,-12.91070818731365,0.0,-0.0
-72.0,-52.0,-12.91070818731365,0.0,-0.0
-68.0,-52.0,-12.91070818731365,0.0,-0.0
-64.0,-52.0,-12.91070818731365,0.0,-0.0
-60.0,-52.0,-12.91070818731365,0.0,-0.0
-56.0,-52.0,-12.91070818731365,0.0,-0.0
-52.0,-52.0,-12.91070818731365,0.0,-0.0
-48.0,-52.0,-12.91070818731365,0.0,-0.0
-44.0,-52.0,-12.91070818731365,0.0,-0.0
-40.0,-52.0,-12.91070818731365,0.0,-0.0
-36.0,-52.0,-12.91070818731365,0.0,-0.0
-32.0,-52.0,-12.91070818731365,0.0,-0.0
-28.0,-52.0,-12.91070818731365,0.0,-0.0
-24.0,-52.0,-12.91070818731365,0.0,-0.0
-20.0,-52.0,-12.91070818731365,0.0,-0.0
-16.0,-52.0,-12.91070818731365,0.0,-0.0
-12.0,-52.0,-12.91070818731365,0.0,-0.0
-8.0,-52.0,-12.91070818731365,0.0,-0.0
-4.0,-52.0,-12.91070818731365,0.0,-0.0
0.0,-52.0,-12.91070818731365,0.0,-0.0
4.0,-52.0,-12.91070818731365,0.0,-0.0
8.0,-52.0,-12.91070818731365,0.0,-0.0
12.0,-52.0,-12.91070818731365,0.0,-0.0
16.0,-52.0,-12.91070818731365,0.0,-0.0
