#lon lat ve vn vu se sn su name
170.59720 -45.88370 -29.15199 -12.99552 -1.47214 0.29419 0.25654 0.42824 dund
170.51090 -45.86950 -28.84634 -12.80653 -0.81709 0.17386 0.19714 0.23242 ousd
174.83439 -36.60280 0.53740 -0.71314 -0.64761 0.08275 0.14134 0.29042 auck
174.80590 -41.32348 -23.52810 -7.55315 -2.23659 0.31786 0.26603 0.31970 wgtn
172.65470 -43.70271 -32.21921 -11.13674 -1.39061 0.26666 0.32907 0.48101 mqzg
169.30825 -45.23100 -28.28513 -13.21402 -0.76029 0.57232 0.32107 0.37724 lexa
174.66279 -36.43440 0.30618 -0.58339 -0.97347 0.24283 0.21559 0.32174 wark
174.31460 -35.80380 0.55386 -0.28597 -0.74413 0.13782 0.10506 0.38327 whng
176.26090 -37.72880 1.46742 -1.49695 0.26848 0.37323 0.21890 0.38167 trng
174.11820 -39.18255 -1.30409 -1.09616 -1.26604 0.23970 0.12548 0.41711 nply
174.85410 -38.51300 -0.61921 -0.65998 -1.28021 0.14222 0.10266 0.46996 maho
173.27310 -35.06890 0.08225 -0.29512 -1.04191 0.18284 0.16917 0.33948 ktia
170.98431 -42.71290 -3.57179 -0.81638 -0.74626 0.17554 0.36594 0.62330 hoki
175.10920 -37.80680 -0.36761 -0.82404 -0.74714 0.11470 0.09228 0.36994 hamt
174.78160 -41.29040 -21.65081 -6.29819 -3.01778 0.58403 0.45601 0.41775 wgtt
171.80621 -41.74472 -2.59707 -0.79735 -1.04225 0.35819 0.21619 0.46535 west
170.92030 -44.65570 -30.23154 -12.77448 -0.97167 0.22197 0.19926 0.44761 waim
173.43371 -41.18350 -5.58212 -0.55784 -2.04492 1.25017 0.18533 0.62858 nlsn
175.58458 -41.06199 -26.12629 -10.80251 -3.37109 0.10799 0.20579 0.64765 mast
172.26631 -42.78339 -21.62927 -9.46936 1.00570 0.46906 0.25618 0.48796 lkta
173.53366 -42.42548 -28.16122 -10.34318 -1.32170 0.20710 0.23175 0.38236 kaik
178.30335 -37.56102 5.05468 -17.58161 -0.24087 0.16269 0.15049 0.38667 hikb
168.78555 -44.07320 -12.54269 -4.49458 1.06982 0.17439 0.12754 0.41614 haas
170.62940 -45.81431 -29.24059 -12.48915 -1.23967 0.15766 0.18316 0.18354 dunt
175.74958 -36.86541 1.32305 -0.57408 -0.36219 0.11362 0.10721 0.33385 corm
168.29209 -46.58508 -26.06470 -13.84152 -0.77762 0.50302 0.21663 0.46295 bluf
183.43416 -43.95579 -33.03156 -0.31582 -0.12810 0.28284 0.21087 0.62384 chat
177.01389 -37.98169 3.81748 -12.44365 -0.91014 0.22506 0.41245 0.49009 whkt
174.82142 -39.78689 -2.73038 -2.15388 -0.51708 0.40123 0.28592 0.36219 wang
176.08100 -38.74271 3.77227 -5.69097 1.48574 0.52043 0.46066 0.55182 taup
169.81582 -43.53168 -7.96573 -2.22692 0.47390 0.15732 0.13874 0.57786 quar
175.25479 -41.56921 -32.87946 -9.44510 -4.43450 0.16385 0.31093 0.45328 pali
172.72220 -43.60580 -32.34421 -11.68540 -1.02503 0.49456 0.51809 0.27949 lytt
172.52956 -40.82660 -2.38792 0.10456 -1.08313 0.43359 0.20767 0.42472 gldb
177.07635 -39.65789 -5.38650 -16.49669 0.49753 1.28798 0.61481 0.55709 ckid
174.93290 -41.19640 -21.33822 -6.44826 -2.03090 1.07917 0.41692 0.47111 avln
174.76990 -36.84360 0.49896 -0.42949 -1.01926 0.33539 0.16651 0.28924 takl
183.38288 -43.73547 -33.80306 -0.50259 -1.42130 0.17993 0.14268 0.48305 chti
175.47046 -39.38458 -1.38771 -2.19750 -0.20438 0.45119 0.30162 0.51016 vgmt
175.68790 -41.39800 -32.89308 -10.07479 -4.56904 0.20761 0.17335 0.38686 trav
174.28010 -41.19160 -13.16385 -2.90792 -1.69483 1.29547 0.79088 0.92120 tory
175.89050 -41.10660 -27.93152 -11.55111 -3.63981 0.22315 0.23657 0.47104 tema
176.49251 -39.16552 1.27010 -11.32171 -0.20055 0.17727 0.16113 0.35708 ripa
176.55626 -37.84589 0.36837 -2.81312 2.77183 0.46254 0.35389 0.59394 rgop
176.72472 -37.91544 1.79371 -5.50906 4.45907 0.18144 1.07994 1.55814 rgmt
178.25740 -38.07140 5.99954 -18.50722 0.70472 0.15728 0.15939 0.35747 puke
176.63520 -40.26640 -16.18799 -14.12218 -2.62677 1.46287 0.40749 0.55390 pora
176.86390 -40.03310 -11.04616 -15.86739 -1.21708 2.40025 0.74677 0.48272 pawa
170.46493 -43.98570 -27.40162 -12.29519 -0.32605 0.14428 0.33002 0.25569 mtjo
177.90700 -39.15258 -2.69471 -20.29701 0.15272 0.51962 0.49035 0.45980 mahi
176.93670 -39.33230 -0.87022 -16.41076 -3.19411 0.21107 0.25229 0.37868 leyl
175.42405 -40.40930 -13.24373 -4.56979 -1.41227 1.55582 1.02825 1.25247 koro
177.66780 -39.01610 -1.13034 -21.03876 -1.51512 0.27617 0.12639 0.41881 koko
174.90980 -40.86090 -15.48036 -3.23366 -1.54279 2.28464 1.11902 0.62523 kapt
176.87630 -39.79380 -8.72840 -13.55852 -1.79223 0.31056 0.35987 0.41667 kahu
176.72658 -39.61701 -5.87043 -13.27971 -4.36878 0.56815 0.28317 0.68331 hast
177.88601 -38.63532 -0.81509 -18.14644 -1.63193 1.91393 0.98112 0.42696 gisb
173.92160 -40.80180 -6.71222 -0.72610 -2.71483 2.28392 0.43978 0.45978 durv
176.16666 -40.29886 -15.32511 -10.10077 -2.61077 0.67043 0.35518 0.42323 dnvk
174.21380 -41.74900 -23.59300 -8.50618 -0.62914 0.47957 0.54484 0.50199 cmbl
176.24610 -40.67980 -25.74457 -10.10460 -4.69469 0.32294 0.36260 0.48753 birf
176.46120 -40.53980 -24.31336 -12.08386 -4.06313 0.51405 0.18121 0.41635 akto
173.98420 -41.56066 -14.00424 -3.84913 -1.49158 1.71008 0.97315 0.57787 with
177.41540 -38.49556 1.85111 -16.30246 0.21698 0.13783 0.23389 0.59123 rawi
177.30760 -38.04650 2.97380 -14.55524 -1.82908 0.18335 0.21168 0.40521 optk
174.06030 -41.01930 -9.88392 -1.02437 -2.11587 2.76320 1.92960 0.70680 okoh
168.11820 -45.36651 -25.35869 -11.73315 -0.33489 1.04277 0.39861 0.43284 mavl
175.24060 -40.58880 -14.57981 -4.10917 -1.13576 2.06749 1.02129 1.21781 levn
177.23440 -39.07720 0.95017 -17.46747 -1.43845 0.21396 0.21617 0.45060 wahu
175.23810 -40.08030 -4.83897 -2.15920 -2.38828 0.44169 0.24575 0.39545 gnbk
166.68071 -46.16619 -23.98468 -12.13071 1.39644 0.74955 0.43096 0.58864 pygr
176.06317 -39.48918 -1.44071 -6.53746 -0.26306 0.18739 0.44455 0.38139 bhst
169.88531 -43.58403 -13.61493 -3.60685 1.34735 0.30568 0.13969 0.44591 waka
175.34641 -39.28927 -0.77428 -2.12373 -0.48783 0.15663 0.24574 0.46486 vgpk
175.88569 -40.77601 -24.59911 -10.35634 -4.80232 0.38083 0.33032 0.65054 tint
176.51462 -38.33889 2.14073 -8.06156 -1.70409 0.13766 0.34659 0.63333 rgrr
175.99928 -40.60108 -23.24166 -10.35485 -3.90881 0.74546 0.61672 0.59592 ptoi
